               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081034,             0.10702,                   0,             0.75164,             0.58325,              0.6761,             0.29723,            0.061487,            0.093988,                   0,             0.07009,           0.0033233,           0.0033233
                   1,            0.062646,            0.098822,                   0,             0.72954,             0.63878,             0.71317,             0.37177,            0.051182,            0.087594,                   0,            0.039431,           0.0059976,           0.0059976
                   2,            0.056661,            0.093781,                   0,             0.89175,             0.71456,              0.8406,             0.44087,            0.047417,            0.085003,                   0,           0.0081121,            0.008012,            0.008012
                   3,            0.051821,            0.089887,                   0,             0.91533,             0.74293,             0.86766,             0.52408,            0.042838,            0.078283,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.048678,            0.087894,                   0,             0.93043,             0.75876,             0.87654,              0.5512,            0.040881,            0.075724,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.046326,            0.085299,                   0,             0.92979,             0.76767,             0.88529,             0.56601,            0.039731,            0.073046,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.044235,            0.081186,                   0,             0.92674,             0.77495,             0.89279,             0.58884,            0.038246,            0.070246,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.042606,            0.079413,                   0,             0.92481,             0.78514,              0.8993,             0.60502,            0.037197,            0.069045,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.041567,            0.077493,                   0,             0.92549,             0.79327,             0.90599,             0.61433,            0.036688,            0.067741,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.040764,            0.076853,                   0,             0.93025,             0.78778,             0.90417,             0.61988,            0.036157,            0.066794,                   0,             0.00208,             0.00208,             0.00208
